1, 110
2, 68
3, 64
4, 48
5, 37
6, 39
7, 31
8, 23
9, 15
10, 15
11, 14
12, 26
13, 19
14, 15
15, 11
16, 9
17, 10
18, 10
19, 9
20, 8
21, 9
22, 9
23, 7
24, 1
25, 3
26, 7
27, 7
28, 7
29, 2
30, 4
31, 3
32, 3
33, 6
34, 3
35, 7
36, 1
37, 3
38, 2
39, 1
41, 3
42, 4
43, 1
44, 2
45, 1
46, 3
47, 1
48, 2
50, 2
51, 1
52, 4
54, 1
55, 3
56, 4
58, 3
59, 3
61, 1
65, 3
67, 2
69, 2
71, 1
72, 1
73, 3
74, 1
78, 1
79, 1
80, 2
81, 1
84, 1
85, 1
86, 1
88, 1
89, 1
90, 2
91, 1
93, 1
95, 2
97, 1
99, 3
100, 3
102, 1
103, 1
104, 3
105, 1
108, 1
109, 2
112, 1
120, 2
121, 1
128, 2
129, 1
130, 3
131, 2
135, 1
146, 1
148, 1
153, 1
156, 1
163, 1
177, 1
186, 1
187, 1
189, 1
195, 1
