PHX,7,FLL,25,83379.0,
PHL,6,FLL,25,181570.0,
IAD,21,DCA,22,4469.0,
DCA,22,LAX,2,115059.0,
SAN,8,CLT,11,102157.0,
LAX,2,HNL,20,845349.0,
SFO,10,PHX,7,489989.0,
DFW,9,MSP,18,388415.0,
ATL,16,SAN,8,307616.0,
TPA,19,LGA,3,177409.0,
ORD,5,SAN,8,303521.0,
ORD,5,DCA,22,543248.0,
HNL,20,SFO,10,338232.0,
PHL,6,LGA,3,112849.0,
MSP,18,IAD,21,87300.0,
IAD,21,LAX,2,401683.0,
TPA,19,PHX,7,113649.0,
CLT,11,BOS,12,418542.0,
MIA,17,EWR,23,301876.0,
BOS,12,ATL,16,528319.0,
FLL,25,MSP,18,73832.0,
BOS,12,PHX,7,167456.0,
EWR,23,BWI,14,23002.0,
DCA,22,SFO,10,68816.0,
MSP,18,MDW,13,348516.0,
SFO,10,BOS,12,476106.0,
LAS,15,TPA,19,75498.0,
TPA,19,LAS,15,70665.0,
EWR,23,MCO,24,530715.0,
IAH,4,EWR,23,357038.0,
SAN,8,ATL,16,309085.0,
FLL,25,JFK,1,411804.0,
IAD,21,SFO,10,414454.0,
SFO,10,IAD,21,419289.0,
SAN,8,HNL,20,110276.0,
JFK,1,IAH,4,434.0,
SAN,8,MCO,24,61456.0,
MCO,24,TPA,19,9820.0,
LAX,2,MIA,17,399390.0,
ATL,16,MCO,24,1028059.0,
FLL,25,SFO,10,127292.0,
BOS,12,DCA,22,562609.0,
IAD,21,LAS,15,138139.0,
LGA,3,BWI,14,960.0,
HNL,20,EWR,23,55353.0,
BWI,14,DCA,22,1620.0,
FLL,25,CLT,11,280511.0,
ATL,16,LAX,2,767842.0,
JFK,1,ATL,16,211782.0,
MSP,18,CLT,11,235310.0,
SFO,10,DCA,22,72338.0,
LAX,2,DFW,9,857568.0,
PHL,6,MSP,18,230565.0,
EWR,23,MIA,17,294409.0,
LAS,15,PHX,7,537337.0,
MIA,17,TPA,19,191301.0,
PHX,7,EWR,23,230100.0,
FLL,25,LAS,15,116747.0,
IAD,21,LGA,3,34260.0,
MSP,18,FLL,25,68575.0,
SAN,8,BWI,14,90847.0,
JFK,1,HNL,20,60183.0,
JFK,1,PHX,7,274483.0,
MCO,24,PHL,6,569103.0,
ORD,5,LGA,3,1102081.0,
PHX,7,IAH,4,325173.0,
DCA,22,LGA,3,289963.0,
ORD,5,IAH,4,503974.0,
MSP,18,IAH,4,167164.0,
ORD,5,LAX,2,934735.0,
BOS,12,MCO,24,281323.0,
BOS,12,PHL,6,482435.0,
PHX,7,LAS,15,541995.0,
LGA,3,TPA,19,175782.0,
TPA,19,DFW,9,259763.0,
DFW,9,BOS,12,343231.0,
BWI,14,MDW,13,197618.0,
ORD,5,JFK,1,224549.0,
TPA,19,EWR,23,230844.0,
DFW,9,MIA,17,447765.0,
MDW,13,BWI,14,195225.0,
ORD,5,BWI,14,230206.0,
PHL,6,MDW,13,182110.0,
DFW,9,LAS,15,519048.0,
MDW,13,MCO,24,279285.0,
MCO,24,ORD,5,495496.0,
DFW,9,LGA,3,571146.0,
ORD,5,MSP,18,719882.0,
JFK,1,DFW,9,77669.0,
CLT,11,EWR,23,399875.0,
IAD,21,BWI,14,4943.0,
SAN,8,IAD,21,133074.0,
EWR,23,PHL,6,62146.0,
CLT,11,MIA,17,311431.0,
TPA,19,LAX,2,65779.0,
CLT,11,LAX,2,261641.0,
ATL,16,LAS,15,506470.0,
MCO,24,DCA,22,282173.0,
FLL,25,IAH,4,205830.0,
IAD,21,ATL,16,281995.0,
JFK,1,TPA,19,218522.0,
CLT,11,PHX,7,396034.0,
PHX,7,MSP,18,531869.0,
BWI,14,PHL,6,77179.0,
DFW,9,EWR,23,287811.0,
BOS,12,TPA,19,116031.0,
ORD,5,PHL,6,536093.0,
LAX,2,ORD,5,969950.0,
PHX,7,BWI,14,182218.0,
JFK,1,LAX,2,1332937.0,
MSP,18,DFW,9,387160.0,
DCA,22,ATL,16,638947.0,
SFO,10,CLT,11,246842.0,
CLT,11,DFW,9,460854.0,
TPA,19,FLL,25,181809.0,
MDW,13,PHX,7,278731.0,
MCO,24,CLT,11,401194.0,
IAH,4,MCO,24,318170.0,
EWR,23,MDW,13,153604.0,
ATL,16,BWI,14,567228.0,
BWI,14,CLT,11,353881.0,
BOS,12,IAD,21,186188.0,
LAS,15,ORD,5,510928.0,
ORD,5,LAS,15,513638.0,
